Year	Pop_Child	Pop_Women_Edu1	Pop_Women_Edu2	Pop_Men_Edu1	Pop_Men_Edu2
2000	3588.4	2309.4	805.9	1719.9	1597.3
2001	3630.4	2356.7	861.6	1743.6	1677.7
2002	3665.6	2400.0	918.3	1763.8	1758.4
2003	3678.0	2428.7	971.7	1772.7	1831.0
2004	3688.0	2456.1	1026.6	1780.2	1905.1
2005	3695.8	2482.1	1083.1	1786.2	1980.7
2006	3701.3	2499.6	1148.4	1824.9	2023.6
2007	3704.6	2515.3	1215.5	1863.6	2066.5
2008	3705.7	2529.4	1284.5	1902.3	2109.4
2009	3704.4	2541.5	1355.3	1940.9	2152.2
2010	3701.6	2552.4	1428.3	1979.9	2195.4
2011	3722.3	2579.2	1513.5	2032.8	2254.1
2012	3676.4	2559.5	1574.1	2050.3	2273.5
