Year	Suicides_Total	Pop_Total	Suicides_Male_Child	Suicides_Female_Child	Suicides_Child_pers
2000	108593	10021	1520	1520	2.8
2001	108506	10270	1498	1509	2.8
2002	110417	10506	1306	1574	2.6
2003	110851	10682	1278	1298	2.3
2004	113697	10856	1467	1446	2.6
2005	113914	11028	1328	1227	2.2
2006	118112	11197.8	1194	1270	2.1
2007	122637	11365.5	1184	1295	2
2008	125017	11531.3	1165	1216	1.9
2009	127151	11694.4	1501	1450	2.3
2010	134599	11857.6	1640	1490	2.3
2011	135585	12101.9	1574	1461	2.2
2012	135445	12133.7	1353	1385	2
